trackingnum,borough,cd,commdist,type_br,type,priority,agencyacro,agency,need,request,explanation,sitename,address,streetsegment,streetcross1,streetcross2,supporters1,supporters2,parent_tracking_code,agyresponsecat,agyresponse,unique_id,geo_function
408202407C,4,08,408,C, ,07,DPR,846,Traffic and traffic flow,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Reconstruct pond. Add a new aerator system at Captain Tilly Park for the goose pond. [Part of FY 2023 tracking code 408202009C] Build new cement borders and/or add pavers,",,165th Street,165th Street,Highland Avenue,Highland Avenue,Hillcrest Estates Civic Association,,,1,This Parks project was funded in a prior fiscal year and the scope is now underway.,3241,Intersection-4
408202420C,4,08,408,C,site,20,DOT,841,"Park, buildings, and access improvements",Repair or construct new curbs or pedestrian ramps,New sidewalk is needed on north side of Goethals Avenue from 168th Street to 170th Street. Area abuts NYC property. Sidewalk is needed for pedestrian safety.,,Goethals Avenue,Goethals Avenue,168th Street,168th Street,,,,3,"Funds are unavailable for this project.  We recommend this project be brought to the attention of your elected officials, i.e. Borough President, Council/Assemblymember, or State Senator.",3264,Intersection-4
409202411C,4,09,409,C,general,11,NYCTA,998,"Park, buildings, and access improvements",Other capital budget request,"Capital improvements to LIRR property between Babbage and Bessemer Streets, bounded by Hillside and 84th Avenues, and 126th Street and Metropolitan Avenue (security fencing, improved lighting, fa ade repair and security cameras).",,Babbage Street,Babbage Street,Hillside Avenue,84 Avenue,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,3296,Intersection-4
409202412C,4,09,409,C,general,12,DCAS,856,NYPD facilities and equipment,Other capital budget request,DCAS-Capital improvements to DCAS property currently rented by businesses on 100th Street between 103 Avenue and 101st Avenue,,100 Street,100 Street,103 Avenue,103 Avenue,Community Board-Local Businesses and residents,,,8,Further study by the agency of this request is needed.,3337,Intersection-4
409202413C,4,09,409,C,site,13,DOT,841,Park maintenance and safety,Repair or provide new street lights,"New lighting on Jamaica Ave from Lefferts Boulevard to Eldert Lane.  Better lighting on all sidewalks is needed in Forest Park. There are too many dark areas where pedestrians become targets for theft, assault, and etc.",,Jamaica Avenue,Jamaica Avenue,Lefferts Boulevard,Eldert Lane,"Woodhaven Bid, local merchants. community board and residents",,,1,Work on this project/program has either been completed or will be finished in FY 2024.,3339,Intersection-4
409202416C,4,09,409,C, ,16,DOT,841,Schools and educational facilities,Upgrade or create new greenways,Incorporate Greenstreets Program on Woodhaven Blvd.  Additional tree plantings on Woodhaven Blvd. from Myrtle Ave. to 103 Ave. and gardens where appropriate.,,Woodhaven Blvd,Woodhaven Blvd,Myrtle Ave,Myrtle Ave,,,,7,Please contact the Borough Commissioner's office to discuss this request.,3345,Intersection-4
409202418C,4,09,409,C,general,18,DPR,846,Transportation infrastructure,"Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)",Create a memorial garden at 102nd Street and Park Lane South,,102nd Street,102nd Street,Park Lane South,Park Lane South,Community Board and local residents,,,7,Further study by the agency of this request is needed.,3349,Intersection-4
410202402C,4,10,410,C,street,02,DOT,841,Transportation infrastructure,"Roadway maintenance (i.e. pothole repair, resurfacing, trench restoration, etc.)","Grade, pave etc. 104th Street from Russell Street to 165 Avenue.    Roadway in deteriorating condition and may have been undermined as a result of Hurricane Sandy.  This is the only north-south roadway servicing the Hamilton Beach community.  Although there has been paving done on the street, a full street reconstruction is greatly needed.",,104 Street,104 Street,Russell Street,Russell Street,New Hamilton Beach Civic Association,,,6,Please contact the Borough Commissioner's office to discuss this request.,3364,Intersection-4
410202410C,4,10,410,C, ,10,DOT,841,Transportation infrastructure,Reconstruct streets,"A full reconstruction of Lincoln Street and 132nd Street between 116th Avenue and Foch Blvd. is needed to bring the two streets up to current NYC DOT standards, including building out the grassy space as a proper sidewalk. The roadbed between Foch Blvd. and 116th Ave. is flat without proper grading for water drainage.  Drainage needs to be studied and improved.  A concrete base, if missing is needed to provide proper structures to the street.  The curb reveals are substandard and the catch basins need to be reviewed.  A catch basin in the grassy area needs to be relocated as well.  The local community board is requesting a sidewalk extension into the overgrown grassy space at the intersection of 132nd Street and Lincoln Street.",,Lincoln Street & 132nd St.,Lincoln Street 132nd St.,116th Avenue,116th Avenue,,,,7,Please contact the Borough Commissioner's office to discuss this request.,3380,Intersection-1
411202401C,4,11,411,C, ,01,DOT,841,Transportation infrastructure,Install streetscape improvements,"Provide a shared pedestrian/bicycle greenway on the North sidewalk of Northern Boulevard from Douglaston Parkway to 223rd Street to enhance safety. From the Cross Island Parkway to Douglaston Parkway occupies NYCDOT's 15 foot wide sidewalk. The work requires removing 2,500 +/- feet of existing sidewalk and building an 11 +/- foot wide pedestrian/bicycle lane with existing 4 +/- foot curb strip as a traffic buffer. Bridge widening is not recommended. Use cautionary signs at bridge and all driveways and obstructions. Remove and replace fences, shrubs, scrub trees, fill and grade and relocate two lighting standards. No major trees are affected.",,Northern Blvd,Northern Blvd,223rd St,223rd St,Council Member Paul Vallone,State Senator Tony Avella,,3,This request cannot be funded in FY 2024. Resubmit for consideration in FY 2025.,3416,Intersection-4
411202411C,4,11,411,C, ,11,DEP,826,NYPD facilities and equipment,Other capital budget request for DEP,Replace water mains in Little Neck.   Due to topography of area and age of pipes water periodically is brown coming out of the taps.,,Leith Road,Leith Road,Browvale Lane,Browvale Lane,,,,8,Further study by the agency of this request is needed.,3433,Intersection-4
411202423C,4,11,411,C, ,CS,DOT,841,Garbage collection and recycling,Install streetscape improvements,"411201401C- Fund Phase 2 of the Bayside Village BID Bell Boulevard Streetscape Improvement Project. Phase 1 of the Streetscape Improvement Project has funds for the planned construction and funding for design work for Phase 2 ($1,000,000) is needed to complete the project.",,Bell Blvd,Bell Blvd,Northern Blvd,Northern Blvd,Bayside Village BID,Bayside Business Association,,1,Work on this project/program has either been completed or will be finished in FY 2024.,3457,Intersection-4
412202415C,4,12,412,C, ,15,DOT,841,Park programming,Repair or provide new street lights,"Install brighter lights at Hillside Ave and Sutphin Blvd.

Install additional lighting",,Hillside Ave,Hillside Ave,Sutphin Blvd,Sutphin Blvd,Hon. Rory Lancman,,,8,Please contact the Borough Commissioner's office to discuss this request.,3489,Intersection-4
412202417C,4,12,412,C, ,17,DOT,841,Transportation infrastructure,Reconstruct streets,Reconstruct sidewalk with steel curve at southeast and southwest corner of 193rd and Woodhull Ave.    This section of Hollis is heavily populated with over 2000 apartment dwellers plus homeowners.  The 193rd and Woodhull Ave area is the main entrance to the LRR Hollis Station which is added contribution to the high volume of traffic and paring,,193rd St,193rd St,Woodhull Ave,,Hon. Daneek Miller,,,3,The agency will try to accommodate this issue within existing resources.,3491,Intersection-2
412202429C,4,12,412,C, ,CS,DPR,846,Transportation infrastructure,Other capital budget request for DPR,Install Park security lighting.  Lighting in Baisley Park is insignificant; in fact many of the existing lights do not function.  A recent survey in the Park resulted in security and lighting being important needs.,,197th Street,197th Street,118th Ave,118th Ave,Hon. Daneek Miller,,,8,Further study by the agency of this request is needed.,3503,Intersection-4
412202430C,4,12,412,C,street,CS,DOT,841,Transportation infrastructure,Other transportation infrastructure requests,There is a great deal of traffic approaching the light at Linden & 195th Street cars park three abreast during drop off & pick-up times.  Newly constructed curbs will increase pedestrian safety.,,Linden Blvd,Linden Blvd,195th Street,195th Street,,,,7,The agency will try to accommodate this issue within existing resources.,3504,Intersection-4
412202432C,4,12,412,C, ,CS,DOT,841,Traffic and traffic flow,"Roadway maintenance (i.e. pothole repair, resurfacing, trench restoration, etc.)","Reconstruct Brinkerhoff Avenue (110th Avenue) from 173rd Street to 178th Street. Reconstruct 176th Street from Brinkerhoff Avenue (110th Avenue) to 109th Avenue. The section of Brinkerhoff Ave. is in serious disrepair. It has not been resurfaced or properly maintained in the last 60 years. There is little to no sidewalk between 176th and 178th streets. The roadway is higher that the pedestrian walkway causing water from the rain and broken water mains to flow into the yards and basements of homes. Between 177th and 178th streets the roadway is so broken up, there is no paving from the pedestrian walkway to more than give feet into the roadway. Cars are parked in the mud. We are submitting photographic evidence. It is truly a deplorable condition.",,Brinkerhoff Ave,Brinkerhoff Ave,173th St,173th St,Department of Environmental Protection,Brinkerhoff Action Group,,7,Roadway reconstruction is not warranted for this request; it will be referred to our repaving unit for their evaluation.,3506,Intersection-4
